"crusoenormaljustnouns" "lighthousejustnormalnouns"
"account" 0.292859799181852 0.0158265411094405
"wall" 0.218482707326144 0.142438869984965
"corn" 0.292859799181852 0.00791327055472027
"cam" 0 0.498536044947377
"cave" 0.28821123094087 0.00791327055472027
"creature" 0.269616957976943 0.0316530822188811
"sight" 0.204537002603198 0.142438869984965
"husband" 0.0139457047229453 0.451056421619055
"creatures" 0.26031982149498 0.0237398116641608
"heart" 0.162699888434362 0.189918493313286
"trees" 0.167348456675344 0.174091952203846
"voyage" 0.269616957976943 0
"window" 0 0.458969692173775
"wood" 0.255671253253998 0.0237398116641608
"course" 0.15805132019338 0.182005222758566
"bread" 0.246374116772034 0.0237398116641608
"face" 0.0883227965786538 0.29279101052465
"feet" 0.20918557084418 0.0870459761019229
"powder" 0.26031982149498 0
"woman" 0.00464856824098178 0.435229880509615
"case" 0.20918557084418 0.0791327055472027
"rock" 0.162699888434362 0.158265411094405
"distance" 0.213834139085162 0.0633061644377621
"tide" 0.227779843808107 0.0316530822188811
"times" 0.195239866121235 0.0870459761019229
"use" 0.218482707326144 0.0474796233283216
"door" 0.111565637783563 0.221571575532167
"hill" 0.227779843808107 0.0237398116641608
"book" 0.0139457047229453 0.379836986626573
"danger" 0.223131275567125 0.0237398116641608
"providence" 0.237076980290071 0
"boy" 0.116214206024544 0.197831763868007
"labour" 0.218482707326144 0.0237398116641608
"top" 0.153402751952399 0.134525599430245
"death" 0.116214206024544 0.189918493313286
"sail" 0.162699888434362 0.110785787766084
"voice" 0.0604313871327631 0.28487773996993
"arms" 0.171997024916326 0.0870459761019229
"nature" 0.181294161398289 0.0712194349924824
"occasion" 0.20918557084418 0.0237398116641608
"picture" 0 0.379836986626573
"storm" 0.162699888434362 0.102872517211363
"none" 0.171997024916326 0.0791327055472027
"shot" 0.195239866121235 0.0395663527736013
"business" 0.185942729639271 0.0474796233283216
"deliverance" 0.213834139085162 0
"master" 0.213834139085162 0
"sense" 0.106917069542581 0.182005222758566
"beauty" 0 0.348183904407692
"coast" 0.199888434362216 0.00791327055472027
"power" 0.111565637783563 0.158265411094405
"view" 0.13015991074749 0.126612328875524
"evening" 0.0743770918557084 0.213658304977447
"food" 0.190591297880253 0.0158265411094405
"heaven" 0.13015991074749 0.118699058320804
"mother" 0.0697285236147267 0.221571575532167
"order" 0.153402751952399 0.0791327055472027
"women" 0.0371885459278542 0.276964469415209
"beach" 0.0278914094458907 0.28487773996993
"help" 0.162699888434362 0.0553928938830419
"story" 0.0976199330606173 0.166178681649126
"air" 0.0232428412049089 0.28487773996993
"arm" 0.0464856824098178 0.237398116641608
"deal" 0.167348456675344 0.0316530822188811
"flesh" 0.176645593157308 0.0158265411094405
"sand" 0.13015991074749 0.0949592466566432
"while" 0.181294161398289 0.00791327055472027
"fear" 0.171997024916326 0.0158265411094405
"hours" 0.148754183711417 0.0553928938830419
"length" 0.15805132019338 0.0395663527736013
"middle" 0.0929713648196356 0.150352140539685
"question" 0.0650799553737449 0.197831763868007
"others" 0.116214206024544 0.102872517211363
"waves" 0.0325399776868724 0.245311387196328
"wife" 0.00929713648196356 0.28487773996993
"body" 0.0929713648196356 0.134525599430245
"clothes" 0.144105615470435 0.0474796233283216
"look" 0.0232428412049089 0.253224657751049
"means" 0.167348456675344 0.00791327055472027
